date	rain_mm
2007-01-01 00:00:00	0
2007-01-01 00:05:00	0
2007-01-01 00:10:00	0
2007-01-01 00:15:00	0
2007-01-01 00:20:00	0
2007-01-01 00:25:00	0
2007-01-01 00:30:00	0
2007-01-01 00:35:00	0
2007-01-01 00:40:00	0
2007-01-01 00:45:00	0
2007-01-01 00:50:00	0
2007-01-01 00:55:00	0
2007-01-01 01:00:00	0
2007-01-01 01:05:00	0
2007-01-01 01:10:00	0

