date 	ssc
22.08.2010 20:10	8.48
22.08.2010 20:20	14.36
22.08.2010 20:30	14.78
22.08.2010 20:40	17.02
22.08.2010 20:50	17.69
22.08.2010 21:00	18.41
22.08.2010 21:10	19.76
22.08.2010 21:20	19.55
22.08.2010 21:30	19.59
22.08.2010 21:40	19.56
22.08.2010 22:40	20.93
04.09.2010 12:30	10.51
04.09.2010 12:35	8.59
04.09.2010 12:40	8.78
04.09.2010 12:45	8.16
04.09.2010 12:50	8.41
04.09.2010 12:55	8.32
04.09.2010 13:00	9.83
04.09.2010 13:05	8.16
04.09.2010 13:10	8.89
04.09.2010 13:15	9.83
04.09.2010 13:20	9.81
04.09.2010 13:25	10.63
04.09.2010 13:35	11.45
04.09.2010 13:45	12.25
04.09.2010 13:55	12.26
04.09.2010 14:05	12.43
04.09.2010 14:15	12.21
04.09.2010 14:25	12.53
04.09.2010 14:35	11.69
04.09.2010 14:45	11.6
04.09.2010 14:55	11.76
04.09.2010 15:05	11.59
04.09.2010 16:05	11.64
29.11.2010 13:55	7.37
29.11.2010 14:00	6.2
29.11.2010 14:05	6.17
29.11.2010 14:10	6.27
29.11.2010 14:15	5.72
29.11.2010 14:20	6.1
29.11.2010 14:25	6.4
29.11.2010 14:30	6.96
29.11.2010 14:35	7.56
29.11.2010 14:40	8.05
29.11.2010 14:45	8.63
29.11.2010 14:50	9.11
29.11.2010 15:05	9.59
29.11.2010 15:15	9.84
29.11.2010 15:25	10.15
29.11.2010 15:35	10.2
29.11.2010 15:45	10.85
29.11.2010 15:55	10.49
29.11.2010 16:05	10.8
29.11.2010 16:15	10.78
29.11.2010 16:25	10.58
29.11.2010 16:35	10.82
29.11.2010 17:35	10.79
08.12.2010 10:55	4.65
08.12.2010 11:00	4.18
08.12.2010 11:05	4.76
08.12.2010 11:10	4.9
08.12.2010 11:15	4.42
08.12.2010 11:20	4.16
08.12.2010 11:25	4.62
08.12.2010 11:30	5.04
08.12.2010 11:35	4.96
08.12.2010 11:40	4.98
08.12.2010 11:45	5.35
08.12.2010 11:50	5.76
08.12.2010 12:00	5.43
08.12.2010 12:10	5.67
08.12.2010 12:20	6.16
08.12.2010 12:30	6.53
08.12.2010 12:40	7.08
08.12.2010 12:50	7.22
08.12.2010 13:00	7.73
08.12.2010 13:10	7.53
08.12.2010 13:20	6.72
08.12.2010 13:30	7.63
08.12.2010 14:30	7.78
